Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
32,1,1736144013.506180373,1736144062.489385696,48.983205323
32,2,1736144062.492497221,1736144114.098443391,51.605946170
32,3,1736144114.101509161,1736144170.767511205,56.666002044
32,4,1736144170.770211869,1736144217.541943594,46.771731725
32,5,1736144217.544699943,1736144268.702593723,51.157893780
32,6,1736144268.705163280,1736144317.612210324,48.907047044
32,7,1736144317.615094333,1736144364.450381951,46.835287618
32,8,1736144364.453747885,1736144413.972122181,49.518374296
32,9,1736144413.975362448,1736144477.298528675,63.323166227
32,10,1736144477.301898836,1736144527.140911610,49.839012774
